feature,perm_importance,grad_attribution,combined
curr_trx_count,0.9999999943480379,1.0,0.999999997174019
curr_trx_amount_sum,0.761840320457289,0.7127494,0.737294871026908
curr_trx_amount_mean,0.2151556144808327,0.6134862,0.4143208926247852
curr_trx_amount_std,0.19215155507092913,0.49530405,0.34372780156615
curr_trx_days_active,0.17320703555689457,0.44336754,0.3082872881966144
curr_trx_event_types,0.16102841586930003,0.43750226,0.29926534042290076
recent_trx_count,0.15967523590401453,0.4284992,0.294087213951725
recent_trx_amount_sum,0.15832205593872276,0.40543425,0.28187815338516337
recent_trx_amount_mean,0.15426251604286,0.33989474,0.24707862890823268
recent_trx_amount_std,0.15426251604286,0.2838027,0.21903260208232783
recent_trx_amount_max,0.13937753642469447,0.2648962,0.20213687521651288
recent_trx_amount_min,0.13802435645939642,0.24406336,0.19104385946930316
recent_trx_days_active,0.13802435645939642,0.23915517,0.1885897648805466
recent_trx_event_types,0.13667117649411092,0.23734243,0.18700680431770747
recent_trx_months_active,0.13261163659824818,0.19979778,0.16620470795995934
recent_morning_ratio,0.13261163659824818,0.19664204,0.164626838902304
recent_evening_ratio,0.13125845663296895,0.18806805,0.15966325189941982
recent_weekend_ratio,0.13125845663296268,0.18669072,0.1589745872842624
recent_trx_amount_cv,0.12855209670237916,0.17683762,0.1526948599108667
curr_vs_recent_ratio,0.1271989167370874,0.17628765,0.15174328389954955
dialog_count,0.12584573677180189,0.17249657,0.14917115445434043
dialog_months,0.12584573677180189,0.17178728,0.14881650681792685
dialog_emb_norm,0.1231393768412309,0.1703108,0.14672508607419515
dialog_emb_0,0.12043301691065364,0.16587289,0.1431529518437889
dialog_emb_1,0.11907983694536187,0.16240138,0.14074060755005824
dialog_emb_2,0.11907983694536187,0.15446071,0.1367702751063441
dialog_emb_3,0.11772665698008265,0.14641759,0.13207212248780592
dialog_emb_4,0.11772665698007638,0.13971536,0.12872100779749898
dialog_emb_5,0.1150202970495054,0.1338732,0.12444674575280293
dialog_emb_6,0.1150202970495054,0.12840559,0.12171294146727665
dialog_emb_7,0.11502029704949912,0.12693807,0.12097918593834667
dialog_emb_8,0.11502029704949912,0.12502494,0.12002262079666881
dialog_emb_9,0.11502029704949912,0.1229391,0.11897969970058231
geo_count,0.11502029704949912,0.11805721,0.11653875538657932
geo_geohash_4_unique,0.11366711708421362,0.11583492,0.11475101934132403
geo_geohash_5_unique,0.11366711708420735,0.115799166,0.11473314167317858
geo_geohash_6_unique,0.11366711708420735,0.11223729,0.11295220331606379
geo_geohash_4_concentration,0.11366711708420735,0.10299574,0.1083314277356576
geo_geohash_5_concentration,0.11366711708420735,0.0981678,0.10591745824870577
geo_geohash_6_concentration,0.11366711708420735,0.09511999,0.10439355374631396
trend_count_slope,0.11096075715363636,0.089133106,0.10004693166286058
trend_sum_slope,0.11096075715363636,0.08737738,0.09916906700402803
trend_count_r2,0.11096075715363636,0.08698239,0.09897157446414537
trend_sum_r2,0.11096075715363636,0.086318985,0.09863987089068002
momentum_count_1m,0.11096075715363636,0.07756014,0.09426044941813058
momentum_sum_1m,0.11096075715363636,0.076567724,0.09376424075037545
momentum_count_2m,0.11096075715363636,0.076127626,0.09354419157773561
momentum_sum_2m,0.11096075715363009,0.07177488,0.09136781738072625
acceleration_count,0.10960757718834459,0.070912205,0.09025989093558578
volatility_count,0.1082543972230591,0.06810399,0.08817919433596917
volatility_sum,0.10825439722305283,0.06702896,0.08764167964938156
cv_count,0.10554803729248184,0.06662231,0.08608517333960602
cv_sum,0.10554803729248184,0.06656157,0.08605480477309296
stability_count,0.10148849739661281,0.06561066,0.08354957974965604
stability_sum,0.09742895750075632,0.0650833,0.08125613002911236
max_drawdown_count,0.09607577753547084,0.06367102,0.07987340009452527
max_drawdown_sum,0.09607577753546456,0.058908712,0.07749224482716431
recovery_count,0.09472259757017279,0.05618301,0.07545280395495486
recovery_sum,0.0920162376396018,0.054203145,0.0731096914227882
skewness_count,0.08660351777844728,0.051742774,0.06917314564075619
kurtosis_count,0.08660351777844728,0.047962386,0.0672829519697681
autocorr_count,0.08389715784787002,0.04634648,0.06512181800603302
geo_morning_ratio,0.08254397788258452,0.042495444,0.06251971114979217
geo_evening_ratio,0.08254397788257825,0.038905483,0.06072473031089419
geo_night_ratio,0.08119079791729275,0.03881574,0.060003269206606466
geo_weekend_ratio,0.07848443798672176,0.03199698,0.05524070914810408
geo_hour_std,0.06765899826441273,0.024914296,0.04628664730416767
geo_months_active,0.05818673850738917,0.02293688,0.040561809547960334
geo_diversity_ratio,0.050067658715663654,0.021945456,0.03600655737927472
geo_mobility,0.021650879444605545,0.01332498,0.017487929568651535
geo_entropy,0.0,0.0,0.0
