feature,attribution
curr_vs_recent_ratio,0.22700839
curr_trx_days_active,0.16778773
recent_trx_count,0.14732325
recent_trx_months_active,0.12295838
recent_trx_days_active,0.112250954
cv_count,0.11104175
curr_trx_count,0.109185636
recent_trx_event_types,0.10443048
curr_trx_event_types,0.090918615
momentum_count_1m,0.079354465
recent_trx_amount_cv,0.075456634
geo_geohash_4_concentration,0.07116166
cv_sum,0.070149764
recent_evening_ratio,0.06977604
geo_months_active,0.0620357
kurtosis_count,0.0613851
geo_geohash_6_concentration,0.059617452
trend_count_slope,0.059333496
autocorr_count,0.057302147
momentum_sum_1m,0.05718876
volatility_count,0.05640718
recovery_count,0.056260947
geo_geohash_5_concentration,0.05595655
acceleration_count,0.055041615
momentum_sum_2m,0.054325916
momentum_count_2m,0.052688837
stability_count,0.051030636
max_drawdown_count,0.04964888
dialog_months,0.04844444
dialog_emb_norm,0.047317214
recent_trx_amount_sum,0.04701467
recent_morning_ratio,0.04662025
recovery_sum,0.046190225
dialog_emb_2,0.045183755
geo_diversity_ratio,0.0447256
dialog_emb_1,0.04471823
curr_trx_amount_sum,0.0439839
recent_trx_amount_std,0.042078625
trend_sum_r2,0.04108328
curr_trx_amount_std,0.04045493
skewness_count,0.039220653
dialog_emb_3,0.038858686
geo_hour_std,0.038777255
dialog_emb_5,0.038640484
recent_weekend_ratio,0.036834728
dialog_emb_9,0.036630128
trend_sum_slope,0.036539394
recent_trx_amount_min,0.035642017
geo_geohash_5_unique,0.035464164
dialog_emb_0,0.034885213
trend_count_r2,0.03466358
geo_mobility,0.034579743
geo_night_ratio,0.034567222
geo_count,0.03437118
recent_trx_amount_mean,0.034262456
curr_trx_amount_mean,0.033971295
recent_trx_amount_max,0.03298948
dialog_emb_4,0.03242754
geo_weekend_ratio,0.03201936
dialog_count,0.031512123
geo_morning_ratio,0.030732743
geo_geohash_4_unique,0.030399602
stability_sum,0.029605659
dialog_emb_8,0.028865539
max_drawdown_sum,0.028847037
volatility_sum,0.027441256
geo_evening_ratio,0.025981063
dialog_emb_6,0.025573391
geo_geohash_6_unique,0.025368996
geo_entropy,0.023591766
dialog_emb_7,0.020844638
