feature,importance,baseline_auc,permuted_auc
recent_trx_months_active,0.04990967950482228,0.9121788509599015,0.8622691714550792
curr_vs_recent_ratio,0.04506669067231783,0.9121788509599015,0.8671121602875836
curr_trx_days_active,0.011965039939544675,0.9121788509599015,0.9002138110203568
recent_trx_days_active,0.008105607455241248,0.9121788509599015,0.9040732435046602
recent_trx_event_types,0.004559325050901064,0.9121788509599015,0.9076195259090004
recent_evening_ratio,0.0038157539519860784,0.9121788509599015,0.9083630970079154
cv_count,0.003482326902765842,0.9121788509599015,0.9086965240571356
dialog_emb_7,0.002133505539016589,0.9121788509599015,0.9100453454208849
momentum_count_1m,0.002124181093299926,0.9121788509599015,0.9100546698666016
trend_count_slope,0.00146656921442323,0.9121788509599015,0.9107122817454782
volatility_count,0.00138279721004686,0.9121788509599015,0.9107960537498546
geo_months_active,0.0013671577958022096,0.9121788509599015,0.9108116931640993
dialog_count,0.0011758668741482792,0.9121788509599015,0.9110029840857532
curr_trx_event_types,0.0010809614486959607,0.9121788509599015,0.9110978895112055
stability_count,0.0010769159219827795,0.9121788509599015,0.9111019350379187
max_drawdown_count,0.0010369375665374436,0.9121788509599015,0.911141913393364
geo_geohash_4_concentration,0.0010032412891586295,0.9121788509599015,0.9111756096707428
dialog_emb_1,0.0009466696960973575,0.9121788509599015,0.9112321812638041
cv_sum,0.0009261460483820372,0.9121788509599015,0.9112527049115194
trend_count_r2,0.0007484388871551451,0.9121788509599015,0.9114304120727463
recent_trx_count,0.0007442617985976563,0.9121788509599015,0.9114345891613038
geo_hour_std,0.0006994978810649366,0.9121788509599015,0.9114793530788365
dialog_emb_2,0.0006341116444334993,0.9121788509599015,0.911544739315468
trend_sum_r2,0.0005823091682292114,0.9121788509599015,0.9115965417916723
skewness_count,0.0005701068071678472,0.9121788509599015,0.9116087441527336
geo_evening_ratio,0.0005223498576764074,0.9121788509599015,0.9116565011022251
geo_geohash_6_concentration,0.00045125712604743295,0.9121788509599015,0.911727593833854
recovery_count,0.0004368017684017733,0.9121788509599015,0.9117420491914997
max_drawdown_sum,0.0003691789804166623,0.9121788509599015,0.9118096719794848
autocorr_count,0.0003508096579023512,0.9121788509599015,0.9118280413019991
geo_weekend_ratio,0.0003251879887192777,0.9121788509599015,0.9118536629711822
recent_morning_ratio,0.00027542472110209104,0.9121788509599015,0.9119034262387994
curr_trx_count,0.00026133115852822186,0.9121788509599015,0.9119175198013733
acceleration_count,0.0002469744722659595,0.9121788509599015,0.9119318764876355
geo_night_ratio,0.00023677842933045312,0.9121788509599015,0.911942072530571
kurtosis_count,0.00020347683748467293,0.9121788509599015,0.9119753741224168
dialog_emb_6,0.00017928590335869465,0.9121788509599015,0.9119995650565428
momentum_count_2m,0.00015415759109194127,0.9121788509599015,0.9120246933688095
dialog_emb_4,0.00014570474259389954,0.9121788509599015,0.9120331462173076
dialog_emb_3,6.066645546609628e-05,0.9121788509599015,0.9121181845044354
momentum_sum_2m,6.93988728839301e-06,0.9121788509599015,0.9121719110726131
geo_mobility,1.3156184430762607e-06,0.9121788509599015,0.9121775353414584
volatility_sum,-1.9240919733043427e-05,0.9121788509599015,0.9121980918796345
recent_weekend_ratio,-2.118145693696949e-05,0.9121788509599015,0.9122000324168384
recovery_sum,-8.694593387092997e-05,0.9121788509599015,0.9122657968937724
geo_count,-0.00010876875479881587,0.9121788509599015,0.9122876197147003
geo_geohash_5_concentration,-0.0001098212495533879,0.9121788509599015,0.9122886722094549
geo_geohash_6_unique,-0.00012929240251402518,0.9121788509599015,0.9123081433624155
geo_entropy,-0.00018745918293783248,0.9121788509599015,0.9123663101428393
geo_geohash_5_unique,-0.00021549830101041945,0.9121788509599015,0.9123943492609119
geo_morning_ratio,-0.00022972342542848523,0.9121788509599015,0.91240857438533
geo_geohash_4_unique,-0.0002625809960495884,0.9121788509599015,0.9124414319559511
dialog_emb_norm,-0.0002822494917765761,0.9121788509599015,0.912461100451678
trend_sum_slope,-0.0003111766522984061,0.9121788509599015,0.9124900276121999
geo_diversity_ratio,-0.0003246124056505151,0.9121788509599015,0.912503463365552
momentum_sum_1m,-0.0003984843812410155,0.9121788509599015,0.9125773353411425
stability_sum,-0.00040641098236193773,0.9121788509599015,0.9125852619422634
dialog_emb_5,-0.0004199125166359785,0.9121788509599015,0.9125987634765375
dialog_months,-0.0007140519100937714,0.9121788509599015,0.9128929028699952
dialog_emb_8,-0.0008167359295924159,0.9121788509599015,0.9129955868894939
dialog_emb_0,-0.0010454397507271285,0.9121788509599015,0.9132242907106286
dialog_emb_9,-0.0012005511651906886,0.9121788509599015,0.9133794021250922
